,Prompt,Prompt Model,MRC,MSC,Success Rate
1,2,chatgpt,29.679499999999997,0.21889908505,0.607
7,8,chatgpt,21.385,0.163078993365,0.5845
8,9,chatgpt,16.154500000000002,0.12979955921,0.5715
9,10,chatgpt,17.404999999999998,0.10232275025500001,0.5675
2,3,chatgpt,18.8185,0.12334680358,0.5525
0,1,chatgpt,-0.9404999999999997,0.0010572698250000054,0.5155000000000001
4,5,chatgpt,-3.1755,0.006486417270000003,0.5055000000000001
3,4,chatgpt,-12.9815,-0.073191685225,0.44
5,6,chatgpt,-32.0685,-0.23260940889999998,0.34450000000000003
6,7,chatgpt,-34.004,-0.2412189468,0.332
